media_group,red_filename,artist_name,track_name_version
TEST MEDIA GROUP 2,Johnny Cash_Jackson_USSM16701326_REDTID5074.mp3,Johnny Cash,Jackson
TEST MEDIA GROUP 2,Johnny Cash_Ghost Riders in the Sky_USKYW1011877_REDTID5076.mp3,Johnny Cash,(Ghost) Riders in the Sky
TEST MEDIA GROUP 2,Johnny Cash_Out Among the Stars_USSM11306813_REDTID5077.mp3,Johnny Cash,Out Among the Stars
TEST MEDIA GROUP 2,Linda Ronstadt_Youre No Good_QMXSL1101801_REDTID6065.mp3,Linda Ronstadt,You're No Good
